SPM-SUM 35-34 From: split LAN_All species 35 35 34 34 30 30 (198).txt: selecting rows from 1 to 35
2.913461538	2.903846154	2.293269231	2.360576923	3.043269231	2.072115385	3.048076923	1.951923077	0.817307692	2.548076923	0.6875	2.346153846	1.019230769	1.875	4.235576923	1.6875	2.846153846	1.418269231	3.403846154	1.331730769	
2.555555556	2.859903382	1.922705314	2.270531401	2.714975845	1.985507246	2.743961353	1.8647343	0.381642512	2.357487923	0.280193237	2.125603865	0.661835749	1.671497585	3.975845411	1.647342995	2.52173913	1.29468599	3.062801932	1.231884058	
2.927884615	2.831730769	2.293269231	2.206730769	3.173076923	1.971153846	3.192307692	1.850961538	0.706730769	2.240384615	0.596153846	2	1.024038462	1.533653846	4.399038462	1.692307692	2.879807692	1.283653846	3.524038462	1.235576923	
2.748760196	2.884024318	2.178718538	2.222196292	3.053104471	2.014469247	3.077258778	1.888866848	0.656997165	2.169056815	0.560379934	1.942006325	0.927525409	1.502397928	4.309128462	1.763264449	2.864700872	1.299501745	3.444404252	1.260854853	
2.719806763	2.850241546	2.048309179	2.198067633	2.884057971	1.985507246	2.90821256	1.8647343	0.555555556	2.178743961	0.458937198	1.951690821	0.835748792	1.526570048	4.22705314	1.729468599	2.739130435	1.299516908	3.400966184	1.275362319	
2.923411513	2.645902728	2.373178577	2.19614711	3.0334581	1.985623204	3.038242735	1.880361251	1.100465872	2.258347355	0.96171148	2.038254181	1.296635876	1.636344906	4.052585191	1.708114419	2.846857365	1.416251731	3.320536154	1.363620755	
2.748760196	2.932332933	2.198041984	2.28016663	3.009626717	2.091763031	3.028950163	1.956498909	0.719798364	2.227027153	0.594195965	1.970991494	0.966172301	1.550706543	4.20768037	1.850219956	2.835715703	1.376795529	3.386433914	1.371964667	
2.644200211	2.908620232	1.971131066	2.240358724	2.831698044	2.028822707	2.865351501	1.908631788	0.442302581	2.221128177	0.336534572	1.98074634	0.754798969	1.524020849	4.129759965	1.754787412	2.701891851	1.322100105	3.307654082	1.293254285	
2.574879227	2.917874396	1.927536232	2.275362319	2.830917874	2.053140097	2.8647343	1.93236715	0.473429952	2.265700483	0.347826087	2.004830918	0.782608696	1.555555556	4.115942029	1.801932367	2.661835749	1.362318841	3.256038647	1.333333333	
2.700357054	2.898415443	2.086859119	2.236610583	2.874261981	2.024060117	2.888754058	1.869477961	0.463746471	2.212457121	0.3816247	2.00956804	0.792233554	1.545821569	4.236517239	1.719726496	2.714849131	1.260810718	3.362161914	1.222165178	
2.574608856	2.801638155	1.946655476	2.183345596	2.705029942	1.946655476	2.738842817	1.830725622	0.444397776	2.231649703	0.323637511	2.009450814	0.719731181	1.540900985	4.033392861	1.647170019	2.598760909	1.270397991	3.202562235	1.226924295	
2.647342995	2.869565217	2.009661836	2.236714976	2.888888889	2.009661836	2.922705314	1.884057971	0.555555556	2.236714976	0.45410628	2.019323671	0.811594203	1.584541063	4.183574879	1.748792271	2.724637681	1.31884058	3.338164251	1.275362319	
2.76299487	2.811298976	2.178515186	2.173684775	2.903076778	1.961146708	2.936889652	1.850047264	0.685918307	2.125380669	0.603801326	1.922503423	0.956421301	1.511918521	4.192796411	1.729286999	2.748503638	1.304210865	3.328152911	1.280058812	
2.716346154	2.759615385	2.158653846	2.139423077	2.951923077	1.947115385	2.975961538	1.826923077	0.701923077	2.105769231	0.610576923	1.855769231	1.009615385	1.466346154	4.120192308	1.6875	2.802884615	1.264423077	3.355769231	1.230769231	
2.690789858	2.700451581	2.043454416	2.101424754	2.821223118	1.869543402	2.845377426	1.753602726	0.632842857	2.082101308	0.541056488	1.840558233	0.93235627	1.434765867	4.072416248	1.603846019	2.719775027	1.217377099	3.2753241	1.169068484	
2.552855112	2.697084215	2.014399797	2.149013626	2.788429313	1.942285246	2.798044586	1.822094327	0.663453871	2.163436536	0.533647679	1.951900519	0.889412798	1.552866669	3.942262132	1.677865224	2.58650857	1.307677195	3.149002069	1.274023738	
