T.megalops T.striatus 129 85
6.728571429	3.3	5.257142857	3.328571429	3.3	3.585714286	2.685714286	3.928571429	4.942857143	4.771428571	3.857142857	5.757142857	4.314285714	6.028571429	5.028571429	6.328571429	5.871428571	6.557142857	6.557142857	6.685714286	8.028571429	6.771428571	8.214285714	6.485714286	8.842857143	5.171428571	8.314285714	5.057142857	8.242857143	4.928571429	8.514285714	4.442857143	6.742857143	5.442857143	6.271428571	5.242857143	6.214285714	5.028571429	7.942857143	4.357142857	7.914285714	4.2	8.271428571	3.885714286
7.420289855	4.115942029	5.942028986	4.188405797	3.985507246	4.536231884	3.333333333	4.898550725	5.623188406	5.608695652	4.565217391	6.507246377	5.086956522	6.782608696	5.898550725	7.043478261	6.768115942	7.231884058	7.391304348	7.31884058	8.710144928	7.434782609	8.913043478	7.144927536	9.47826087	5.913043478	8.826086957	5.84057971	8.782608696	5.739130435	9.014492754	5.246376812	7.434782609	6.275362319	6.927536232	6.043478261	6.855072464	5.826086957	8.507246377	5.15942029	8.47826087	5.014492754	8.811594203	4.695652174
6.732394366	3.774647887	5.309859155	3.774647887	3.366197183	4.014084507	2.732394366	4.323943662	4.929577465	5.183098592	3.873239437	6.154929577	4.323943662	6.408450704	4.943661972	6.661971831	5.76056338	6.901408451	6.507042254	7.042253521	7.873239437	7.14084507	8.084507042	6.845070423	8.676056338	5.591549296	8.183098592	5.507042254	8.112676056	5.38028169	8.352112676	4.915492958	6.690140845	5.845070423	6.183098592	5.633802817	6.154929577	5.464788732	7.816901408	4.816901408	7.774647887	4.690140845	8.169014085	4.352112676
7.173913043	4.043478261	5.84057971	4.086956522	3.594202899	4.536231884	2.898550725	4.927536232	5.275362319	5.68115942	4.304347826	6.68115942	4.797101449	6.942028986	5.637681159	7.217391304	6.492753623	7.391304348	7.144927536	7.492753623	8.579710145	7.565217391	8.797101449	7.231884058	9.507246377	5.898550725	8.869565217	5.826086957	8.782608696	5.710144928	9.072463768	5.188405797	7.31884058	6.289855072	6.768115942	6.086956522	6.652173913	5.84057971	8.391304348	5.101449275	8.347826087	4.942028986	8.753623188	4.579710145
6.842857143	4.285714286	5.042857143	4.3	3.1	4.657142857	2.357142857	5	4.742857143	5.914285714	3.7	6.928571429	4.214285714	7.228571429	5.014285714	7.528571429	5.942857143	7.742857143	6.6	7.857142857	8.071428571	7.942857143	8.328571429	7.657142857	9.028571429	6.342857143	8.4	6.228571429	8.328571429	6.128571429	8.6	5.585714286	6.757142857	6.7	6.2	6.457142857	6.142857143	6.2	7.971428571	5.471428571	7.928571429	5.328571429	8.328571429	4.985714286
6.585042377	4.12815021	5.385164807	4.242424265	3.413937371	4.628099198	2.88541987	4.999489874	4.999489874	5.542291632	4.156718724	6.370778525	4.585246427	6.599326634	5.156616699	6.785021972	5.870829538	6.956433053	6.485052579	7.042138594	7.756351433	7.084991364	7.956331028	6.813590485	8.527701299	5.713702713	7.984899542	5.627997172	7.956331028	5.528007375	8.199163393	5.099479671	6.642179404	6.056524876	6.227935957	5.870829538	6.156514673	5.72798697	7.713498663	5.028058388	7.670645892	4.92806859	7.984899542	4.613814941
6.314285714	4.857142857	5.2	4.885714286	3.3	5.071428571	2.757142857	5.357142857	4.628571429	6.071428571	3.657142857	6.871428571	4.042857143	7.071428571	4.657142857	7.3	5.4	7.528571429	6	7.642857143	7.271428571	7.757142857	7.5	7.471428571	8.014285714	6.5	7.557142857	6.357142857	7.514285714	6.285714286	7.785714286	5.871428571	6.157142857	6.671428571	5.785714286	6.485714286	5.742857143	6.328571429	7.3	5.8	7.285714286	5.657142857	7.585714286	5.385714286
6.289855072	3.84057971	4.768115942	3.884057971	2.797101449	4.231884058	2.15942029	4.579710145	4.420289855	5.391304348	3.304347826	6.405797101	3.710144928	6.652173913	4.420289855	6.927536232	5.304347826	7.15942029	6.057971014	7.304347826	7.52173913	7.420289855	7.724637681	7.144927536	8.405797101	5.797101449	7.826086957	5.68115942	7.768115942	5.608695652	8.072463768	5.086956522	6.202898551	6.101449275	5.739130435	5.84057971	5.695652174	5.666666667	7.449275362	4.971014493	7.420289855	4.811594203	7.869565217	4.507246377
6.304347826	3.028985507	4.913043478	3.072463768	2.869565217	3.449275362	2.260869565	3.811594203	4.492753623	4.608695652	3.550724638	5.536231884	3.985507246	5.782608696	4.68115942	6.043478261	5.579710145	6.246376812	6.289855072	6.333333333	7.710144928	6.405797101	7.898550725	6.115942029	8.565217391	4.84057971	7.942028986	4.724637681	7.869565217	4.637681159	8.101449275	4.130434783	6.449275362	5.202898551	5.84057971	4.927536232	5.826086957	4.811594203	7.492753623	4.072463768	7.449275362	3.927536232	7.826086957	3.608695652
7.3	3.585714286	6.214285714	3.628571429	4.128571429	3.928571429	3.585714286	4.242857143	5.685714286	5.014285714	4.7	5.914285714	5.128571429	6.157142857	5.757142857	6.4	6.528571429	6.6	7.157142857	6.742857143	8.457142857	6.814285714	8.671428571	6.542857143	9.342857143	5.342857143	8.785714286	5.228571429	8.728571429	5.142857143	8.985714286	4.714285714	7.342857143	5.642857143	6.9	5.414285714	6.842857143	5.285714286	8.485714286	4.614285714	8.471428571	4.471428571	8.814285714	4.157142857
6.942857143	3.671428571	5.428571429	3.714285714	3.242857143	4.042857143	2.614285714	4.357142857	4.957142857	5.328571429	4.014285714	6.3	4.4	6.514285714	5.042857143	6.828571429	6.057142857	7.085714286	6.757142857	7.228571429	8.185714286	7.328571429	8.371428571	7.057142857	8.985714286	5.714285714	8.385714286	5.628571429	8.3	5.514285714	8.614285714	4.971428571	6.742857143	6.128571429	6.214285714	5.842857143	6.142857143	5.642857143	7.971428571	4.857142857	7.942857143	4.714285714	8.371428571	4.342857143
6.507042254	3.394366197	5	3.352112676	2.915492958	3.591549296	2.183098592	3.915492958	4.549295775	4.929577465	3.394366197	5.873239437	3.873239437	6.197183099	4.478873239	6.521126761	5.394366197	6.830985915	6.056338028	6.985915493	7.605633803	7.225352113	7.830985915	6.957746479	8.676056338	5.549295775	8.014084507	5.422535211	7.929577465	5.295774648	8.23943662	4.788732394	6.338028169	5.802816901	5.830985915	5.521126761	5.774647887	5.267605634	7.61971831	4.633802817	7.563380282	4.478873239	7.985915493	4.14084507
7.028571429	3.314285714	5.457142857	3.342857143	3.457142857	3.671428571	2.757142857	4.042857143	5.014285714	4.857142857	4.071428571	5.828571429	4.542857143	6.1	5.2	6.357142857	6.042857143	6.614285714	6.671428571	6.757142857	8.214285714	6.9	8.457142857	6.571428571	9.071428571	5.285714286	8.485714286	5.2	8.414285714	5.1	8.757142857	4.528571429	6.928571429	5.585714286	6.414285714	5.328571429	6.342857143	5.142857143	8.2	4.414285714	8.157142857	4.285714286	8.514285714	3.928571429
