excluding quin, thus 191 42 36 from mac sawad pseudo quin 191 42 36 30.txt: selecting rows from 1 to 269
1.408963585	0.966386555	3.039215686	1.056022409	3.114845938	1.128851541	2.341736695	1.067226891	3.154061625	1.224089636	3.134453782	1.31092437	1.890756303	1.070028011	1.885154062	1.128851541	3.036414566	1.400560224	2.826330532	1.492997199	2.338935574	1.324929972	1.663865546	1.162464986	1.619047619	1.224089636	2.588235294	1.56302521	2.18487395	1.62464986	1.422969188	1.254901961	1.669467787	1.599439776	
1.583098592	1.081690141	3.092957746	1.067605634	3.154929577	1.129577465	2.487323944	1.123943662	3.202816901	1.211267606	3.2	1.287323944	2.042253521	1.146478873	2.033802817	1.197183099	3.073239437	1.374647887	2.890140845	1.470422535	2.445070423	1.352112676	1.822535211	1.23943662	1.78028169	1.304225352	2.650704225	1.557746479	2.312676056	1.636619718	1.549295775	1.34084507	1.83943662	1.673239437	
1.491567149	1.039321742	3.022459986	1.030894809	3.103920339	1.103928229	2.43538365	1.087074363	3.179762736	1.216287336	3.182571714	1.27246689	1.980329266	1.11516414	1.977520288	1.174152671	3.067403629	1.373590087	2.842685414	1.480331238	2.441001606	1.342691332	1.730330252	1.210669381	1.705049453	1.286511778	2.603922311	1.553364658	2.247182146	1.632016033	1.505612038	1.325837466	1.772464917	1.662914788	
1.393745336	1.138791921	3.039611271	1.297429601	3.096267585	1.37108281	2.339905787	1.254937365	3.130261374	1.475896992	3.110431664	1.555215832	1.88098964	1.25210455	1.88098964	1.308760864	2.994286219	1.631701856	2.759162514	1.716686328	2.314410446	1.526887675	1.645865935	1.334256205	1.614704962	1.405076599	2.487212205	1.759178564	2.121778976	1.798837984	1.388079704	1.422073493	1.623203409	1.767677011	
1.557721758	1.199980957	3.180231221	1.211248383	3.264736922	1.284486658	2.540804749	1.247867521	3.304172916	1.363358646	3.306989772	1.456314917	2.081657105	1.273219231	2.064755965	1.332373222	3.180231221	1.543637475	2.983051251	1.642227459	2.518269895	1.507018338	1.856308569	1.374626072	1.816872575	1.433780063	2.740801575	1.71828259	2.374610203	1.797154578	1.594340895	1.484483484	1.878843423	1.808422005	
1.521120726	1.242248593	3.228156207	1.363374873	3.312662913	1.45069847	2.529567429	1.366191763	3.349282487	1.566190969	3.318296694	1.645063896	2.039428528	1.357741092	2.028160967	1.405628226	3.216888646	1.718303042	3.002804988	1.81126042	2.501398527	1.625345664	1.780274627	1.44788158	1.746471944	1.526754506	2.723932855	1.881682675	2.30421621	1.93802048	1.538022067	1.540838957	1.791542188	1.918302248	
1.647000672	1.313679107	3.165154352	1.341689323	3.235179891	1.406112818	2.602149021	1.366898517	3.282797258	1.504148573	3.277195214	1.574174112	2.139980465	1.389306689	2.139980465	1.442526099	3.167955374	1.669408844	2.985888973	1.753439491	2.571337784	1.618990456	1.901893633	1.478939379	1.871082396	1.543362874	2.733797034	1.831868094	2.408878534	1.899092611	1.647000672	1.574174112	1.949510999	1.907495676	
1.799435028	1.098870056	3.062146893	1.096045198	3.132768362	1.166666667	2.56779661	1.141242938	3.161016949	1.237288136	3.163841808	1.310734463	2.203389831	1.163841808	2.200564972	1.217514124	3.081920904	1.384180791	2.923728814	1.471751412	2.564971751	1.353107345	2.014124294	1.259887006	1.994350282	1.307909605	2.723163842	1.533898305	2.426553672	1.607344633	1.836158192	1.353107345	2.016949153	1.621468927	
1.286496552	1.213463997	2.876359103	1.224699774	2.940964825	1.29773233	2.266818161	1.280878663	2.983098992	1.39885433	2.96905427	1.477504774	1.817387051	1.303350219	1.811769162	1.365146996	2.870741215	1.558964162	2.665688271	1.665704051	2.264009216	1.530874718	1.589862551	1.396045385	1.561773107	1.455033218	2.412883271	1.741545551	2.064574161	1.811769162	1.320203885	1.485931607	1.584244662	1.82300494	
1.588732394	0.966197183	3.197183099	1.005633803	3.261971831	1.070422535	2.566197183	1.028169014	3.309859155	1.174647887	3.298591549	1.242253521	2.078873239	1.050704225	2.064788732	1.098591549	3.205633803	1.34084507	3	1.43943662	2.546478873	1.284507042	1.878873239	1.154929577	1.864788732	1.214084507	2.766197183	1.515492958	2.41971831	1.585915493	1.628169014	1.250704225	1.907042254	1.585915493	
