40 24 Gpg Gpp TA F Komborodougou-Aniassue1 from C:/Users/ucer/Desktop/LMSL.Digitalisation/Gpg_fem_Komborodougou/Gpg_FD_Komborodougou/coord_Jul02.txt + 1 24 22 0 DIEUDONNE Gpp	from C:/Users/Ta bi/Desktop/SANCTUAIRE_Aniassue/DIGITALISATIONS/DIEUDONNE/Femelles_Aniassue/FD_Aniassue/FD_Aniassue_1e_Dig/coord_Apr21.txt
386.000	422.000	776.000	420.000	1616.000	496.000	1750.000	554.000	884.000	544.000	1808.000	598.000	1296.000	716.000	1132.000	846.000	442.000	680.000	938.000	590.000	518.000	616.000
400.000	412.000	822.000	406.000	1680.000	492.000	1820.000	556.000	944.000	548.000	1878.000	602.000	1346.000	708.000	1182.000	860.000	460.000	684.000	1004.000	602.000	552.000	622.000
360.000	528.000	782.000	516.000	1656.000	584.000	1800.000	640.000	924.000	638.000	1862.000	678.000	1324.000	800.000	1182.000	944.000	434.000	784.000	970.000	678.000	516.000	716.000
446.000	496.000	880.000	484.000	1752.000	576.000	1898.000	642.000	996.000	616.000	1952.000	680.000	1400.000	790.000	1252.000	930.000	506.000	764.000	1050.000	660.000	598.000	694.000
406.000	446.000	824.000	446.000	1690.000	532.000	1834.000	600.000	948.000	580.000	1890.000	642.000	1342.000	754.000	1188.000	900.000	462.000	720.000	992.000	628.000	550.000	656.000
372.000	394.000	806.000	394.000	1592.000	498.000	1718.000	562.000	882.000	532.000	1776.000	608.000	1260.000	694.000	1110.000	820.000	426.000	650.000	930.000	578.000	506.000	590.000
378.000	516.000	820.000	498.000	1654.000	544.000	1808.000	600.000	942.000	620.000	1868.000	642.000	1358.000	768.000	1200.000	922.000	464.000	788.000	1010.000	668.000	550.000	714.000
318.000	480.000	758.000	472.000	1618.000	544.000	1760.000	604.000	874.000	606.000	1824.000	660.000	1286.000	772.000	1134.000	918.000	392.000	764.000	930.000	644.000	476.000	694.000
408.000	498.000	834.000	482.000	1694.000	542.000	1852.000	608.000	964.000	614.000	1912.000	648.000	1388.000	780.000	1220.000	926.000	484.000	766.000	1016.000	662.000	568.000	696.000
406.000	428.000	836.000	422.000	1702.000	496.000	1858.000	558.000	956.000	558.000	1918.000	598.000	1380.000	724.000	1218.000	870.000	470.000	712.000	1024.000	604.000	560.000	636.000
440.000	374.000	858.000	358.000	1708.000	426.000	1864.000	494.000	976.000	482.000	1916.000	530.000	1392.000	650.000	1226.000	788.000	518.000	626.000	1028.000	526.000	598.000	564.000
426.000	508.000	830.000	500.000	1652.000	578.000	1806.000	648.000	926.000	626.000	1858.000	688.000	1344.000	798.000	1180.000	934.000	486.000	760.000	974.000	672.000	560.000	698.000
366.000	466.000	798.000	476.000	1692.000	570.000	1842.000	644.000	934.000	606.000	1894.000	686.000	1342.000	794.000	1184.000	940.000	430.000	752.000	984.000	658.000	516.000	682.000
414.000	484.000	832.000	466.000	1666.000	530.000	1810.000	586.000	952.000	594.000	1872.000	624.000	1358.000	740.000	1210.000	888.000	488.000	740.000	1006.000	638.000	566.000	676.000
398.000	384.000	824.000	380.000	1662.000	448.000	1802.000	504.000	930.000	512.000	1856.000	542.000	1340.000	668.000	1184.000	816.000	460.000	644.000	984.000	558.000	544.000	582.000
338.000	386.000	788.000	386.000	1634.000	458.000	1788.000	532.000	900.000	518.000	1840.000	568.000	1316.000	680.000	1158.000	826.000	422.000	674.000	952.000	562.000	500.000	598.000
418.000	444.000	858.000	422.000	1720.000	474.000	1882.000	544.000	968.000	558.000	1936.000	584.000	1392.000	710.000	1238.000	858.000	498.000	710.000	1030.000	598.000	578.000	642.000
286.000	464.000	730.000	462.000	1588.000	538.000	1712.000	604.000	836.000	594.000	1766.000	642.000	1240.000	764.000	1088.000	912.000	350.000	752.000	890.000	640.000	438.000	676.000
408.000	388.000	828.000	400.000	1676.000	524.000	1822.000	596.000	956.000	542.000	1876.000	634.000	1342.000	734.000	1180.000	868.000	464.000	664.000	1000.000	584.000	550.000	602.000
356.000	544.000	774.000	512.000	1632.000	542.000	1770.000	604.000	906.000	630.000	1820.000	642.000	1322.000	774.000	1172.000	918.000	452.000	802.000	944.000	662.000	524.000	724.000
378.000	374.000	806.000	396.000	1664.000	480.000	1832.000	558.000	934.000	518.000	1882.000	598.000	1338.000	700.000	1160.000	832.000	446.000	666.000	982.000	566.000	528.000	590.000
452.000	522.000	880.000	522.000	1728.000	596.000	1880.000	658.000	998.000	648.000	1938.000	694.000	1408.000	822.000	1250.000	964.000	520.000	788.000	1052.000	694.000	610.000	726.000
444.000	452.000	884.000	428.000	1738.000	476.000	1872.000	540.000	1002.000	552.000	1928.000	578.000	1404.000	710.000	1262.000	858.000	530.000	720.000	1050.000	594.000	610.000	654.000
442.000	406.000	876.000	404.000	1728.000	464.000	1886.000	528.000	1016.000	538.000	1948.000	568.000	1432.000	700.000	1256.000	848.000	516.000	680.000	1076.000	588.000	602.000	610.000
356.000	496.000	798.000	514.000	1632.000	582.000	1790.000	642.000	920.000	642.000	1850.000	688.000	1316.000	804.000	1150.000	948.000	428.000	776.000	974.000	686.000	506.000	714.000
380.000	456.000	798.000	474.000	1654.000	560.000	1798.000	626.000	930.000	604.000	1850.000	668.000	1326.000	772.000	1160.000	916.000	442.000	736.000	978.000	646.000	516.000	668.000
446.000	454.000	882.000	442.000	1712.000	524.000	1848.000	596.000	974.000	570.000	1894.000	634.000	1370.000	746.000	1218.000	888.000	512.000	718.000	1028.000	616.000	594.000	646.000
414.000	504.000	834.000	510.000	1686.000	590.000	1828.000	650.000	952.000	632.000	1878.000	690.000	1358.000	800.000	1206.000	940.000	478.000	758.000	1000.000	678.000	558.000	700.000
300.000	444.000	754.000	448.000	1642.000	556.000	1774.000	632.000	844.000	590.000	1828.000	684.000	1276.000	780.000	1106.000	918.000	364.000	736.000	896.000	638.000	456.000	664.000
356.000	444.000	796.000	446.000	1698.000	528.000	1838.000	588.000	936.000	576.000	1902.000	634.000	1354.000	754.000	1182.000	896.000	436.000	718.000	982.000	610.000	520.000	650.000
390.000	418.000	836.000	402.000	1720.000	476.000	1868.000	548.000	970.000	540.000	1926.000	592.000	1384.000	702.000	1212.000	862.000	462.000	704.000	1026.000	584.000	554.000	630.000
382.000	442.000	800.000	442.000	1642.000	528.000	1786.000	592.000	926.000	572.000	1848.000	638.000	1312.000	734.000	1174.000	882.000	454.000	708.000	974.000	622.000	532.000	642.000
464.000	404.000	878.000	386.000	1690.000	454.000	1826.000	506.000	994.000	512.000	1878.000	544.000	1392.000	676.000	1230.000	816.000	538.000	660.000	1050.000	560.000	612.000	590.000
